region,state,lga,tier,count
North East,Yobe,Yunusari,Tier 2,0
North East,Yobe,Yusufari,Tier 2,5
North East,Bauchi,Zaki,Tier 2,10
North West,Katsina,Zango,Tier 2,4
North West,Kaduna,Zangon Kataf,Tier 2,2
North West,Kaduna,Zaria,Tier 2,4
North East,Taraba,Zing,Tier 2,0
North West,Zamfara,Zurmi,Tier 2,6
North West,Kebbi,Zuru,Tier 2,1
North Central,Nasarawa,keana,Tier 2,3
North Central,Kogi,ogori/magongo,Tier 2,3
South East,Abia,Aba North,Tier 3,0
South East,Abia,Aba South,Tier 3,2
North Central,FCT/Abuja,Abaji,Tier 3,17
South South,Akwa-Ibom,Abak,Tier 3,0
South South,Ebonyi,Abakaliki,Tier 3,1
South West,Ogun,Abeokuta North,Tier 3,8
South West,Ogun,Abeokuta South,Tier 3,2
South South,Cross-River,Abi,Tier 3,7
South East,Imo,Aboh Mbaise,Tier 3,7
South South,Rivers,Abua-Odual,Tier 3,4
North Central,FCT/Abuja,Abuja Municipal Area Council,Tier 3,6
North Central,Kogi,Adavi,Tier 3,4
North Central,Benue,Ado,Tier 3,8
South West,Ekiti,Ado Ekiti,Tier 3,1
South West,Ogun,Ado-Odo/Ota,Tier 3,0
South West,Oyo,Afijio,Tier 3,1
South South,Ebonyi,Afikpo,Tier 3,0
North Central,Niger,Agaie,Tier 3,0
North Central,Benue,Agatu,Tier 3,0
South West,Lagos,Agege,Tier 3,15
South East,Anambra,Aguata,Tier 3,0
South East,Imo,Ahiazu Mbaise,Tier 3,1
South South,Rivers,Ahoada East,Tier 3,3
South South,Rivers,Ahoada West,Tier 3,5
South West,Osun,Aiyedaade,Tier 3,1
South West,Osun,Aiyedire,Tier 3,1
North Central,Kogi,Ajaokuta,Tier 3,2
South West,Lagos,Ajeromi-Ifelodun,Tier 3,16
North West,Kano,Ajingi,Tier 3,0
South South,Cross-River,Akamkpa,Tier 3,0
South West,Oyo,Akinyele,Tier 3,7
North East,Gombe,Akko,Tier 3,0
South West,Ondo,Akoko North-East,Tier 3,2
South West,Ondo,Akoko North-West,Tier 3,7
South West,Ondo,Akoko South-East,Tier 3,10
South West,Ondo,Akoko South-West,Tier 3,9
South South,Edo,Akoko-Edo,Tier 3,10
South South,Cross-River,Akpabuyo,Tier 3,2
South South,Rivers,Akuku Toru,Tier 3,0
South West,Ondo,Akure North,Tier 3,8
South West,Ondo,Akure South,Tier 3,9
North Central,Nasarawa,Akwanga,Tier 3,2
North West,Kano,Albasu,Tier 3,3
North West,Kebbi,Aleiro,Tier 3,0
South West,Lagos,Alimosho,Tier 3,15
North East,Bauchi,Alkaleri,Tier 3,2
South West,Lagos,Amuwo-Odofin,Tier 3,15
South East,Anambra,Anambra East,Tier 3,0
South East,Anambra,Anambra West,Tier 3,11
South East,Anambra,Anaocha,Tier 3,0
South South,Rivers,Andoni,Tier 3,0
South East,Enugu,Aninri,Tier 3,7
South South,Delta,Aniocha North,Tier 3,5
South South,Delta,Aniocha South,Tier 3,6
North Central,Kogi,Ankpa,Tier 3,7
North Central,Benue,Apa,Tier 3,0
South West,Lagos,Apapa,Tier 3,10
North East,Taraba,Ardo Kola,Tier 3,1
North West,Kebbi,Arewa,Tier 3,0
North West,Kebbi,Argungu,Tier 3,2
South East,Abia,Arochukwu,Tier 3,0
North Central,Kwara,Asa,Tier 3,0
South South,Rivers,Asari Toru,Tier 3,0
North East,Borno,Askira/Uba,Tier 3,0
South West,Osun,Atakunmosa East,Tier 3,2
South West,Osun,Atakunmosa West,Tier 3,1
South West,Oyo,Atiba,Tier 3,4
South West,Oyo,Atisbo,Tier 3,4
North West,Kebbi,Augie,Tier 3,0
North West,Jigawa,Auyo,Tier 3,2
North Central,Nasarawa,Awe,Tier 3,0
South East,Enugu,Awgu,Tier 3,0
South East,Anambra,Awka North,Tier 3,14
South East,Anambra,Awka South,Tier 3,3
South East,Anambra,Ayamelum,Tier 3,13
North West,Jigawa,Babura,Tier 3,0
South West,Lagos,Badagry,Tier 3,12
North East,Yobe,Bade,Tier 3,1
North West,Kebbi,Bagudo,Tier 3,2
North West,Kano,Bagwai,Tier 3,2
South South,Cross-River,Bakassi,Tier 3,0
North West,Katsina,Bakori,Tier 3,0
North West,Zamfara,Bakuka,Tier 3,0
North East,Gombe,Balanga,Tier 3,0
North East,Taraba,Bali,Tier 3,0
North East,Borno,Bama,Tier 3,5
North Central,Plateau,Barkin Ladi,Tier 3,4
North Central,Plateau,Bassa,Tier 3,9
North West,Katsina,Batagarawa,Tier 3,10
North East,Bauchi,Bauchi,Tier 3,5
North West,Katsina,Baure,Tier 3,15
North East,Borno,Bayo,Tier 3,0
North West,Kano,Bebeji,Tier 3,0
South South,Cross-River,Bekwarra,Tier 3,2
South East,Abia,Bende,Tier 3,0
South South,Cross-River,Biase,Tier 3,0
North West,Kano,Bichi,Tier 3,4
North Central,Niger,Bida,Tier 3,0
North East,Gombe,Billiri,Tier 3,1
North West,Katsina,Bindawa,Tier 3,3
North West,Sokoto,Binji,Tier 3,0
North West,Kebbi,Birnin Kebbi,Tier 3,1
North West,Jigawa,Birnin Kudu,Tier 3,3
North West,Zamfara,Birnin Magaji/Kiyaw,Tier 3,0
North West,Jigawa,Birniwa,Tier 3,0
North East,Borno,Biu,Tier 3,1
North West,Sokoto,Bodinga,Tier 3,0
North East,Bauchi,Bogoro,Tier 3,3
South South,Cross-River,Boki,Tier 3,0
North Central,Plateau,Bokkos,Tier 3,5
South West,Osun,Boluwaduro,Tier 3,1
South South,Delta,Bomadi,Tier 3,4
South South,Rivers,Bonny,Tier 3,8
North Central,Niger,Borgu,Tier 3,1
South West,Osun,Boripe,Tier 3,3
North Central,Niger,Bosso,Tier 3,1
South South,Bayelsa,Brass,Tier 3,0
North West,Jigawa,Buji,Tier 3,0
North West,Zamfara,Bukkuyum,Tier 3,5
North West,Zamfara,Bungudu,Tier 3,1
North West,Kano,Bunkure,Tier 3,0
North West,Kebbi,Bunza,Tier 3,4
North East,Yobe,Bursari,Tier 3,7
North Central,Benue,Buruku,Tier 3,2
South South,Delta,Burutu,Tier 3,0
North Central,FCT/Abuja,Bwari,Tier 3,5
South South,Cross-River,Calabar Municipal,Tier 3,4
South South,Cross-River,Calabar South,Tier 3,2
North Central,Niger,Chanchaga,Tier 3,5
North West,Katsina,Charanchi,Tier 3,0
North East,Borno,Chibok,Tier 3,0
North West,Kaduna,Chikun,Tier 3,5
North West,Kano,Dala,Tier 3,3
North East,Yobe,Damaturu,Tier 3,0
North East,Bauchi,Damban,Tier 3,0
North West,Kano,Dambatta,Tier 3,0
North East,Borno,Damboa,Tier 3,0
North West,Katsina,Dan Musa,Tier 3,1
North West,Kebbi,Dandi,Tier 3,5
North West,Sokoto,Dange Shuni,Tier 3,0
North West,Katsina,Danja,Tier 3,5
North West,Kebbi,Danko wasagu,Tier 3,8
North East,Bauchi,Darazo,Tier 3,4
North East,Bauchi,Dass,Tier 3,4
North West,Katsina,Daura,Tier 3,7
North West,Kano,Dawakin Kudu,Tier 3,1
North West,Kano,Dawakin Tofa,Tier 3,2
South South,Rivers,Degema,Tier 3,0
North Central,Kogi,Dekina,Tier 3,7
North East,Adamawa,Demsa,Tier 3,8
North East,Borno,Dikwa,Tier 3,0
North West,Kano,Doguwa,Tier 3,0
North Central,Nasarawa,Doma,Tier 3,6
North East,Taraba,Donga,Tier 3,0
North East,Gombe,Dukku,Tier 3,2
South East,Anambra,Dunukofia,Tier 3,3
North West,Jigawa,Dutse,Tier 3,4
North West,Katsina,Dutsi,Tier 3,2
North West,Katsina,Dutsin Ma,Tier 3,0
South South,Akwa-Ibom,Eastern Obolo,Tier 3,1
South South,Ebonyi,Ebonyi,Tier 3,2
North Central,Niger,Edati,Tier 3,0
South South,Ebonyi,Edda,Tier 3,0
South West,Osun,Ede North,Tier 3,7
South West,Osun,Ede South,Tier 3,2
South West,Ekiti,Efon,Tier 3,0
South West,Oyo,Egbeda,Tier 3,6
South West,Osun,Egbedore,Tier 3,6
South South,Edo,Egor,Tier 3,2
South East,Imo,Ehime Mbano,Tier 3,0
South West,Osun,Ejigbo,Tier 3,5
South South,Bayelsa,Ekeremor,Tier 3,1
South South,Akwa-Ibom,Eket,Tier 3,1
North Central,Kwara,Ekiti,Tier 3,1
South West,Ekiti,Ekiti East,Tier 3,0
South West,Ekiti,Ekiti South-West,Tier 3,0
South West,Ekiti,Ekiti West,Tier 3,0
South East,Anambra,Ekwusigo,Tier 3,14
South South,Rivers,Eleme,Tier 3,0
South South,Rivers,Emohua,Tier 3,0
South West,Ekiti,Emure,Tier 3,0
South East,Enugu,Enugu East,Tier 3,2
South East,Enugu,Enugu North,Tier 3,6
South East,Enugu,Enugu South,Tier 3,0
South West,Lagos,Epe,Tier 3,10
South South,Edo,Esan Central,Tier 3,5
South South,Edo,Esan North-East,Tier 3,10
South South,Edo,Esan South-East,Tier 3,8
South South,Edo,Esan West,Tier 3,3
South West,Ondo,Ese Odo,Tier 3,10
South South,Akwa-Ibom,Esit Eket,Tier 3,0
South South,Akwa-Ibom,Essien Udim,Tier 3,0
South South,Rivers,Etche,Tier 3,4
South South,Delta,Ethiope East,Tier 3,9
South South,Delta,Ethiope West,Tier 3,9
South West,Lagos,Eti-Osa,Tier 3,2
South South,Akwa-Ibom,Etim Ekpo,Tier 3,5
South South,Akwa-Ibom,Etinan,Tier 3,1
South South,Edo,Etsako Central,Tier 3,6
South South,Edo,Etsako East,Tier 3,2
South South,Edo,Etsako West,Tier 3,0
South South,Cross-River,Etung,Tier 3,0
South West,Ogun,Ewekoro,Tier 3,3
South East,Enugu,Ezeagu,Tier 3,1
South East,Imo,Ezinihitte,Tier 3,9
South South,Ebonyi,Ezza North,Tier 3,0
South South,Ebonyi,Ezza South,Tier 3,3
North West,Kano,Fagge,Tier 3,1
North West,Kebbi,Fakai,Tier 3,0
North East,Yobe,Fika,Tier 3,7
North East,Adamawa,Fufure,Tier 3,1
North East,Gombe,Funakaye,Tier 3,2
North East,Yobe,Fune,Tier 3,5
North West,Katsina,Funtua,Tier 3,0
North West,Kano,Gabasawa,Tier 3,0
North West,Sokoto,Gada,Tier 3,1
North West,Jigawa,Gagarawa,Tier 3,0
North East,Bauchi,Gamawa,Tier 3,0
North East,Bauchi,Ganjuwa,Tier 3,7
North East,Adamawa,Ganye,Tier 3,4
North West,Jigawa,Garki,Tier 3,0
North West,Kano,Garko,Tier 3,0
North West,Kano,Garun Mallam,Tier 3,0
North East,Taraba,Gashaka,Tier 3,0
North East,Taraba,Gassol,Tier 3,2
North West,Kano,Gaya,Tier 3,1
North Central,Niger,Gbako,Tier 3,0
North Central,Benue,Gboko,Tier 3,8
South West,Ekiti,Gbonyin,Tier 3,0
North East,Yobe,Geidam,Tier 3,6
North West,Kano,Gezawa,Tier 3,0
North East,Bauchi,Giade,Tier 3,1
North East,Adamawa,Girei,Tier 3,5
North West,Kaduna,Giwa,Tier 3,3
South South,Rivers,Gokana,Tier 3,1
North East,Gombe,Gombe,Tier 3,1
North East,Adamawa,Gombi,Tier 3,4
North West,Sokoto,Goronyo,Tier 3,0
North East,Borno,Gubio,Tier 3,0
North West,Sokoto,Gudu,Tier 3,0
North East,Yobe,Gujba,Tier 3,1
North East,Yobe,Gulani,Tier 3,0
North Central,Benue,Guma,Tier 3,3
North West,Jigawa,Gumel,Tier 3,0
North West,Zamfara,Gummi,Tier 3,6
North Central,Niger,Gurara,Tier 3,0
North West,Jigawa,Guri,Tier 3,1
North West,Zamfara,Gusau,Tier 3,3
North East,Adamawa,Guyuk,Tier 3,0
North West,Sokoto,Gwadabawa,Tier 3,0
North Central,FCT/Abuja,Gwagwalada,Tier 3,14
North West,Kano,Gwale,Tier 3,1
North West,Kebbi,Gwandu,Tier 3,1
North West,Jigawa,Gwaram,Tier 3,0
North West,Kano,Gwarzo,Tier 3,3
North Central,Benue,Gwer East,Tier 3,5
North Central,Benue,Gwer West,Tier 3,7
North West,Jigawa,Gwiwa,Tier 3,1
North East,Borno,Gwoza,Tier 3,0
North West,Jigawa,Hadejia,Tier 3,0
North East,Borno,Hawul,Tier 3,0
North East,Adamawa,Hong,Tier 3,2
South West,Oyo,Ibadan North,Tier 3,8
South West,Oyo,Ibadan North-East,Tier 3,0
South West,Oyo,Ibadan North-West,Tier 3,7
South West,Oyo,Ibadan South-East,Tier 3,7
South West,Oyo,Ibadan South-West,Tier 3,9
North Central,Kogi,Ibaji,Tier 3,7
South West,Oyo,Ibarapa Central,Tier 3,1
South West,Oyo,Ibarapa East,Tier 3,0
South West,Oyo,Ibarapa North,Tier 3,0
South West,Lagos,Ibeju-Lekki,Tier 3,18
South South,Akwa-Ibom,Ibeno,Tier 3,1
South South,Akwa-Ibom,Ibesikpo Asutan,Tier 3,5
North East,Taraba,Ibi,Tier 3,0
South South,Akwa-Ibom,Ibiono-Ibom,Tier 3,0
North Central,Kogi,Idah,Tier 3,1
South West,Ondo,Idanre,Tier 3,1
South East,Imo,Ideato North,Tier 3,8
South East,Imo,Ideato South,Tier 3,1
South East,Anambra,Idemili North,Tier 3,11
South East,Anambra,Idemili South,Tier 3,0
South West,Oyo,Ido,Tier 3,4
South West,Ekiti,Ido Osi,Tier 3,1
South West,Lagos,Ifako-Ijaiye,Tier 3,4
South West,Osun,Ife Central,Tier 3,7
South West,Osun,Ife East,Tier 3,4
South West,Osun,Ife North,Tier 3,1
South West,Osun,Ife South,Tier 3,1
South West,Osun,Ifedayo,Tier 3,5
South West,Ondo,Ifedore,Tier 3,9
South West,Osun,Ifelodun,Tier 3,3
South West,Ogun,Ifo,Tier 3,7
North West,Kaduna,Igabi,Tier 3,6
North Central,Kogi,Igalamela-Odolu,Tier 3,1
South East,Enugu,Igbo Etiti,Tier 3,2
South East,Enugu,Igbo Eze North,Tier 3,4
South East,Enugu,Igbo Eze South,Tier 3,3
South South,Edo,Igueben,Tier 3,10
South East,Anambra,Ihiala,Tier 3,1
South East,Imo,Ihitte/Uboma,Tier 3,9
South West,Ogun,Ijebu East,Tier 3,9
South West,Ogun,Ijebu North,Tier 3,10
South West,Ogun,Ijebu North East,Tier 3,4
South West,Ogun,Ijebu Ode,Tier 3,4
South West,Ekiti,Ijero,Tier 3,0
North Central,Kogi,Ijumu,Tier 3,0
South South,Akwa-Ibom,Ika,Tier 3,0
South South,Delta,Ika North East,Tier 3,10
South South,Delta,Ika South,Tier 3,10
North West,Kaduna,Ikara,Tier 3,1
South East,Imo,Ikeduru,Tier 3,2
South West,Lagos,Ikeja,Tier 3,15
South West,Ogun,Ikenne,Tier 3,6
South West,Ekiti,Ikere,Tier 3,0
South West,Ekiti,Ikole,Tier 3,0
South South,Cross-River,Ikom,Tier 3,0
South South,Akwa-Ibom,Ikono,Tier 3,0
South West,Lagos,Ikorodu,Tier 3,7
South South,Akwa-Ibom,Ikot Abasi (village),Tier 3,7
South South,Akwa-Ibom,Ikot Ekpene,Tier 3,4
South South,Edo,Ikpoba Okha,Tier 3,5
South South,Rivers,Ikwerre,Tier 3,0
South South,Ebonyi,Ikwo,Tier 3,0
South East,Abia,Ikwuano,Tier 3,3
South West,Osun,Ila,Tier 3,5
South West,Ondo,Ilaje,Tier 3,3
South West,Ondo,Ile-Oluji/Okeigbo,Tier 3,8
South West,Ekiti,Ilejemeje,Tier 3,0
South West,Osun,Ilesa East,Tier 3,2
South West,Osun,Ilesa West,Tier 3,5
North West,Sokoto,Illela,Tier 3,0
North Central,Kwara,Ilorin East,Tier 3,5
North Central,Kwara,Ilorin West,Tier 3,6
South West,Ogun,Imeko Afon,Tier 3,2
North West,Kebbi,Ingaski,Tier 3,0
North West,Katsina,Ingawa,Tier 3,1
South South,Akwa-Ibom,Ini,Tier 3,0
South West,Ogun,Ipokia,Tier 3,9
South West,Ondo,Irele,Tier 3,9
South West,Oyo,Irepo,Tier 3,0
South West,Osun,Irepodun,Tier 3,6
South West,Ekiti,Irepodun/Ifelodun,Tier 3,0
South West,Osun,Irewole,Tier 3,3
South West,Ekiti,Ise/Orun,Tier 3,1
South West,Oyo,Iseyin,Tier 3,5
South South,Ebonyi,Ishielu,Tier 3,4
South East,Enugu,Isi Uzo,Tier 3,4
South East,Imo,Isiala Mbano,Tier 3,1
South East,Abia,Isiala Ngwa North,Tier 3,6
South East,Abia,Isiala Ngwa South,Tier 3,0
North Central,Kwara,Isin,Tier 3,11
South West,Osun,Isokan,Tier 3,4
South South,Delta,Isoko North,Tier 3,11
South South,Delta,Isoko South,Tier 3,9
South East,Imo,Isu,Tier 3,0
South East,Abia,Isuikwuato,Tier 3,0
North East,Bauchi,Itas/Gadau,Tier 3,5
South West,Oyo,Itesiwaju,Tier 3,3
South South,Akwa-Ibom,Itu,Tier 3,0
South South,Ebonyi,Ivo,Tier 3,0
South West,Oyo,Iwajowa,Tier 3,1
South West,Osun,Iwo,Tier 3,4
South South,Ebonyi,Izzi,Tier 3,0
North West,Kaduna,Jaba,Tier 3,4
North East,Adamawa,Jada,Tier 3,3
North West,Jigawa,Jahun,Tier 3,0
North East,Yobe,Jakusko,Tier 3,5
North East,Taraba,Jalingo,Tier 3,1
North East,Bauchi,Jama'are,Tier 3,0
North West,Kebbi,Jega,Tier 3,3
North West,Kaduna,Jema'a,Tier 3,1
North East,Borno,Jere,Tier 3,3
North Central,Plateau,Jos East,Tier 3,3
North Central,Plateau,Jos North,Tier 3,6
North Central,Plateau,Jos South,Tier 3,5
North Central,Kogi,Kabba/Bunu,Tier 3,7
North West,Kano,Kabo,Tier 3,1
North West,Kaduna,Kachia,Tier 3,3
North West,Kaduna,Kaduna North,Tier 3,10
North West,Kaduna,Kaduna South,Tier 3,3
North West,Jigawa,Kafin Hausa,Tier 3,0
North West,Katsina,Kafur,Tier 3,1
North East,Borno,Kaga,Tier 3,0
North West,Kaduna,Kagarko,Tier 3,0
North West,Katsina,Kaita,Tier 3,0
South West,Oyo,Kajola,Tier 3,2
North West,Kaduna,Kajuru,Tier 3,3
North West,Kebbi,Kalgo,Tier 3,4
North East,Gombe,Kaltungo,Tier 3,0
North Central,Plateau,Kanam,Tier 3,0
North Central,Plateau,Kanke,Tier 3,0
North West,Katsina,Kankia,Tier 3,1
North West,Kano,Kano Municipal,Tier 3,1
North East,Yobe,Karasuwa,Tier 3,0
North West,Kano,Karaye,Tier 3,0
North East,Taraba,Karim Lamido,Tier 3,0
North Central,Nasarawa,Karu,Tier 3,5
North East,Bauchi,Katagum,Tier 3,0
North Central,Niger,Katcha,Tier 3,5
North West,Katsina,Katsina,Tier 3,1
North Central,Benue,Katsina-Ala,Tier 3,2
North West,Jigawa,Kaugama,Tier 3,1
North West,Kaduna,Kaura,Tier 3,3
North West,Zamfara,Kaura-Namoda,Tier 3,1
North West,Kaduna,Kauru,Tier 3,3
North West,Jigawa,Kazaure,Tier 3,0
North West,Sokoto,Kebbe,Tier 3,0
North Central,Nasarawa,Keffi,Tier 3,5
South South,Rivers,Khana,Tier 3,1
North West,Kano,Kibiya,Tier 3,2
North East,Bauchi,Kirfi,Tier 3,6
North West,Jigawa,Kiri Kasama,Tier 3,1
North West,Kano,Kiru,Tier 3,2
North West,Jigawa,Kiyawa,Tier 3,0
North West,Kebbi,Koko,Tier 3,6
North Central,Nasarawa,Kokona,Tier 3,1
South South,Bayelsa,Kolokuma/Opokuma,Tier 3,1
North East,Borno,Konduga,Tier 3,0
North Central,Benue,Konshisha,Tier 3,6
North Central,Niger,Kontagora,Tier 3,0
South West,Lagos,Kosofe,Tier 3,0
North Central,Kogi,Koton karfe,Tier 3,4
North West,Kaduna,Kubau,Tier 3,0
North West,Kaduna,Kudan,Tier 3,5
North Central,FCT/Abuja,Kuje,Tier 3,12
North West,Kano,Kumbotso,Tier 3,5
North West,Kano,Kunchi,Tier 3,4
North West,Kano,Kura,Tier 3,3
North West,Katsina,Kurfi,Tier 3,0
North East,Taraba,Kurmi,Tier 3,0
North West,Katsina,Kusada,Tier 3,5
North Central,FCT/Abuja,Kwali,Tier 3,12
North East,Gombe,Kwami,Tier 3,1
North Central,Benue,Kwande,Tier 3,6
North West,Sokoto,Kware,Tier 3,0
North East,Borno,Kwaya Kusar,Tier 3,0
North Central,Nasarawa,Lafia,Tier 3,2
South West,Oyo,Lagelu,Tier 3,6
South West,Lagos,Lagos Island,Tier 3,4
South West,Lagos,Lagos Mainland,Tier 3,6
North East,Adamawa,Lamurde,Tier 3,0
North Central,Plateau,Langtang North,Tier 3,2
North Central,Plateau,Langtang South,Tier 3,0
North Central,Niger,Lapai,Tier 3,0
North Central,Kwara,Latiagi,Tier 3,10
North East,Taraba,Lau,Tier 3,0
North Central,Niger,Lavun,Tier 3,1
North West,Kaduna,Lere,Tier 3,0
North Central,Benue,Logo,Tier 3,5
North Central,Kogi,Lokoja,Tier 3,3
North East,Yobe,Machina,Tier 3,4
North East,Adamawa,Madagali,Tier 3,0
North West,Kano,Madobi,Tier 3,0
North East,Borno,Mafa,Tier 3,4
North Central,Niger,Magama,Tier 3,0
North East,Borno,Magumeri,Tier 3,0
North West,Katsina,Mai'Adua,Tier 3,6
North East,Borno,Maiduguri,Tier 3,9
North West,Jigawa,Maigatari,Tier 3,1
North East,Adamawa,Maiha,Tier 3,0
North West,Kebbi,Maiyama,Tier 3,0
North West,Kaduna,Makarfi,Tier 3,3
North West,Kano,Makoda,Tier 3,4
North Central,Benue,Makurdi,Tier 3,8
North West,Jigawa,Malam Madori,Tier 3,0
North West,Katsina,Malumfashi,Tier 3,0
North Central,Plateau,Mangu,Tier 3,2
North West,Katsina,Mani,Tier 3,0
North West,Zamfara,Maradun,Tier 3,0
North Central,Niger,Mariga,Tier 3,0
North West,Zamfara,Maru,Tier 3,0
North Central,Niger,Mashegu,Tier 3,0
North West,Katsina,Mashi,Tier 3,5
North East,Adamawa,Mayo Belwa,Tier 3,1
South East,Imo,Mbaitoli,Tier 3,0
South South,Akwa-Ibom,Mbo,Tier 3,2
North East,Adamawa,Michika,Tier 3,0
North West,Jigawa,Miga,Tier 3,2
North Central,Plateau,Mikang,Tier 3,0
North West,Kano,Minjibir,Tier 3,4
North East,Bauchi,Misau,Tier 3,3
South South,Akwa-Ibom,Mkpat-Enin,Tier 3,4
South West,Ekiti,Moba,Tier 3,0
North Central,Niger,Mokwa,Tier 3,0
North Central,Kogi,Mopa-Muro,Tier 3,1
North Central,Kwara,Moro,Tier 3,4
North East,Adamawa,Mubi North,Tier 3,1
North East,Adamawa,Mubi South,Tier 3,2
North Central,Niger,Munya,Tier 3,6
South West,Lagos,Mushin,Tier 3,5
North East,Gombe,Nafada,Tier 3,0
North East,Yobe,Nangere,Tier 3,4
North West,Kano,Nasarawa,Tier 3,9
North Central,Nasarawa,Nasarawa Eggon,Tier 3,2
South South,Delta,Ndokwa East,Tier 3,9
South South,Delta,Ndokwa West,Tier 3,6
South South,Bayelsa,Nembe,Tier 3,2
North East,Borno,Nganzai,Tier 3,0
South East,Imo,Ngor Okpala,Tier 3,10
North East,Yobe,Nguru,Tier 3,1
North East,Bauchi,Ningi,Tier 3,6
South East,Imo,Njaba,Tier 3,7
South East,Anambra,Njikoka,Tier 3,2
South East,Enugu,Nkanu East,Tier 3,3
South East,Enugu,Nkanu West,Tier 3,0
South East,Imo,Nkwerre,Tier 3,6
South East,Anambra,Nnewi North,Tier 3,0
South East,Anambra,Nnewi South,Tier 3,0
South South,Akwa-Ibom,Nsit-Atai,Tier 3,4
South South,Akwa-Ibom,Nsit-Ibom,Tier 3,1
South South,Akwa-Ibom,Nsit-Ubium,Tier 3,0
South East,Enugu,Nsukka,Tier 3,4
North East,Adamawa,Numan,Tier 3,5
South East,Imo,Nwangele,Tier 3,2
South West,Ogun,Obafemi Owode,Tier 3,2
South South,Cross-River,Obanliku,Tier 3,1
North Central,Nasarawa,Obi,Tier 3,5
South East,Abia,Obi Ngwa,Tier 3,0
South South,Rivers,Obio-Akpor,Tier 3,4
South West,Osun,Obokun,Tier 3,2
South South,Akwa-Ibom,Obot Akara,Tier 3,0
South East,Imo,Obowo,Tier 3,1
South South,Cross-River,Obubra,Tier 3,10
South South,Cross-River,Obudu,Tier 3,2
South West,Ogun,Odeda,Tier 3,5
South West,Ondo,Odigbo,Tier 3,4
South West,Osun,Odo-Otin,Tier 3,0
South West,Ogun,Odogbolu,Tier 3,3
South South,Cross-River,Odukpani,Tier 3,1
North Central,Kwara,Offa,Tier 3,11
North Central,Kogi,Ofu,Tier 3,0
South South,Rivers,Ogba-Egbema-Ndoni,Tier 3,0
North Central,Benue,Ogbadibo,Tier 3,7
South East,Anambra,Ogbaru,Tier 3,1
South South,Bayelsa,Ogbia,Tier 3,2
South West,Oyo,Ogbomosho North,Tier 3,9
South West,Oyo,Ogbomosho South,Tier 3,8
South West,Oyo,Ogo Oluwa,Tier 3,7
South South,Cross-River,Ogoja,Tier 3,0
South South,Rivers,Ogu-Bolo,Tier 3,0
South West,Ogun,Ogun Waterside,Tier 3,3
South East,Imo,Oguta,Tier 3,0
South East,Abia,Ohafia,Tier 3,0
South East,Imo,Ohaji/Egbema,Tier 3,4
South South,Ebonyi,Ohaozara,Tier 3,0
South South,Ebonyi,Ohaukwu,Tier 3,0
North Central,Benue,Ohimini,Tier 3,3
South East,Enugu,Oji River,Tier 3,0
South West,Lagos,Ojo,Tier 3,13
North Central,Benue,Oju,Tier 3,8
North Central,Kwara,Oke Ero,Tier 3,17
North Central,Kogi,Okehi,Tier 3,6
North Central,Kogi,Okene,Tier 3,5
South East,Imo,Okigwe,Tier 3,8
South South,Rivers,Okirika,Tier 3,1
South West,Ondo,Okitipupa,Tier 3,9
South South,Akwa-Ibom,Okobo,Tier 3,2
South South,Delta,Okpe,Tier 3,2
North Central,Benue,Okpokwu,Tier 3,0
South West,Osun,Ola-Oluwa,Tier 3,2
North Central,Kogi,Olamaboro,Tier 3,0
South West,Osun,Olorunda,Tier 3,3
South West,Oyo,Olorunsogo,Tier 3,0
South West,Oyo,Oluyole,Tier 3,4
North Central,Kogi,Omala,Tier 3,0
South South,Rivers,Omuma,Tier 3,11
South West,Oyo,Ona Ara,Tier 3,4
South West,Ondo,Ondo East,Tier 3,1
South West,Ondo,Ondo West,Tier 3,4
South South,Ebonyi,Onicha,Tier 3,4
South East,Anambra,Onitsha North,Tier 3,0
South East,Anambra,Onitsha South,Tier 3,0
South South,Akwa-Ibom,Onna,Tier 3,2
South East,Imo,Onuimo,Tier 3,7
South South,Rivers,Opobo-Nkoro,Tier 3,0
South South,Edo,Oredo,Tier 3,5
South West,Oyo,Orelope,Tier 3,7
South South,Edo,Orhionmwon,Tier 3,8
South West,Osun,Ori-Ade,Tier 3,2
South West,Oyo,Orire,Tier 3,7
South East,Imo,Orlu,Tier 3,5
South West,Osun,Orolu,Tier 3,4
South South,Akwa-Ibom,Oron,Tier 3,1
South East,Imo,Orsu,Tier 3,2
South East,Imo,Oru East,Tier 3,10
South East,Imo,Oru West,Tier 3,0
South South,Akwa-Ibom,Oruk Anam,Tier 3,0
South East,Anambra,Orumba North,Tier 3,13
South East,Anambra,Orumba South,Tier 3,1
South West,Ondo,Ose,Tier 3,10
South South,Delta,Oshimili North,Tier 3,2
South South,Delta,Oshimili South,Tier 3,3
South West,Lagos,Oshodi-Isolo,Tier 3,11
South East,Abia,Osisioma,Tier 3,0
South West,Osun,Osogbo,Tier 3,4
North Central,Benue,Oturkpo,Tier 3,4
South South,Edo,Ovia North-East,Tier 3,10
South South,Edo,Ovia South-West,Tier 3,6
South South,Edo,Owan East,Tier 3,7
South South,Edo,Owan West,Tier 3,7
South East,Imo,Owerri Municipal,Tier 3,0
South East,Imo,Owerri North,Tier 3,3
South East,Imo,Owerri West,Tier 3,4
South West,Ondo,Owo,Tier 3,2
South West,Ekiti,Oye,Tier 3,0
South East,Anambra,Oyi,Tier 3,0
