Timestamp,What is the name of the hospital?,Building Name,"If Others, Kindly Input Building Name",Auditor's Name,GPS Coordinate,Year of Construction and Any Major Renovations,Any department or areas in the building that required uninterrupted power supply?,"If Yes, Kindly select the areas/departments","Facing (North, West, East, South etc.)",What is the total roof area available for solar installation (m²)?,Any available land space? (Y/N),Number of Floors in the building,Is the Roof sloping (Y/N),Roof orientation and tilt angle (degrees),Roof sheet thickness (Meters),Roof sheet material (Are rooftops concrete or metal sheet?),"On a scale of 0-10, How would you rate the roof condition of this building ?",Are there any existing civil works or electrical infrastructure concerns?,Presence of obstructions,"Is there any shading (trees, nearby buildings) on rooftops?",Wind load resistance,Solar irradiation levels (kWh/m2/day),Temperature (oC),Are there any available space for inverters & other equipment for Panels,Location of available space(s),Available space for inverters & other equipment for Panels (sq.m),Dust Generation Potential,Need for Soil Stabilization or errosion control,Compliance with building and zoning codes,page_0_0_images,Rooftop Image 1,Rooftop Image 2,Rooftop Image 3,Other images if applicable ie (Installation of accessories),Image 1,Image 2,Remarks,Any remarks from enumerator
8/21/2025 14:48:06,Ifako Agege General Hospital,Others,GENERAL SIDE,Fetuga Abiodun,"6.646247, 3.326658",,TRUE,X-RAY,,360,TRUE,3,TRUE,25,,Aluminium longspan,8,FALSE,FALSE,FALSE,19.2,1960,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 14-48-06.Rooftop Image 1.135206.jpg,Solar Feasibility_Images/08-21-2025 14-48-06.Rooftop Image 2.135206.jpg,,,,,,,
8/21/2025 14:53:45,Ifako Agege General Hospital,Others,TOILET,Fetuga Abiodun,"6.643579, 3.325757",,FALSE,,,87,TRUE,1,TRUE,35,,Aluminium longspan,8,FALSE,FALSE,FALSE,19.2,1775,26,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 14-53-45.Rooftop Image 1.140121.jpg,Solar Feasibility_Images/08-21-2025 14-53-45.Rooftop Image 2.140121.jpg,,,,,,,
8/21/2025 15:08:30,Ifako Agege General Hospital,Office of the Chief Medical Director,,Fetuga Abiodun,"6.642737, 3.325736",,FALSE,,,100,FALSE,2,TRUE,35,,Aluminium longspan,9,FALSE,FALSE,FALSE,22.4,1024,26,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 15-08-30.Rooftop Image 1.141232.jpg,Solar Feasibility_Images/08-21-2025 15-08-30.Rooftop Image 2.141232.jpg,,,,,,,
8/21/2025 15:12:27,Ifako Agege General Hospital,Others,CRECHE,Fetuga Abiodun,"6.642710, 3.325684",,FALSE,,,145,FALSE,1,TRUE,15,,Asbestos roof,3,FALSE,FALSE,FALSE,19.5,776,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 15-12-27.Rooftop Image 1.141721.jpg,Solar Feasibility_Images/08-21-2025 15-12-27.Rooftop Image 2.141721.jpg,,,,,,,
8/21/2025 15:17:18,Ifako Agege General Hospital,Others,CHEST,Fetuga Abiodun,"6.642813, 3.325727",,TRUE,Scanner,,53,FALSE,1,TRUE,20,,Aluminium longspan,8,FALSE,FALSE,FALSE,19.2,824,27,TRUE,Inverter room,6,Low,Low,,Solar Feasibility_Images/08-21-2025 15-17-18.Rooftop Image 1.142547.jpg,Solar Feasibility_Images/08-21-2025 15-17-18.Rooftop Image 2.142547.jpg,,,,,,,
8/21/2025 15:25:45,Ifako Agege General Hospital,Others,NEONATAL BUILDING,Fetuga Abiodun,"6.643006, 3.325907",,TRUE,"Incubator, radiant warmer and suction machine",,180,TRUE,2,TRUE,50,,Aluminium longspan,8,FALSE,FALSE,TRUE,21.3,841,27,TRUE,Passage,12,Low,Low,,Solar Feasibility_Images/08-21-2025 15-25-45.Rooftop Image 1.143429.jpg,Solar Feasibility_Images/08-21-2025 15-25-45.Rooftop Image 2.143429.jpg,Solar Feasibility_Images/08-21-2025 15-25-45.Rooftop Image 3.143429.jpg,,,,,,
8/21/2025 15:36:13,Ifako Agege General Hospital,Accident & Emergency,,Fetuga Abiodun,"6.643334, 3.325968",,TRUE,Emergency,,180,TRUE,1,TRUE,20,,Aluminium longspan,3,FALSE,FALSE,FALSE,19.4,776,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 15-36-13.Rooftop Image 1.144826.jpg,Solar Feasibility_Images/08-21-2025 15-36-13.Rooftop Image 2.144826.jpg,Solar Feasibility_Images/08-21-2025 15-36-13.Rooftop Image 3.144826.jpg,,,,,,
8/21/2025 15:48:20,Ifako Agege General Hospital,Others,OPD/PHARMACY,Fetuga Abiodun,"6.643208, 3.326024",,TRUE,Refrigerator,,260,FALSE,1,TRUE,20,,Aluzinc longspan,3,FALSE,FALSE,TRUE,19.2,910,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 15-48-20.Rooftop Image 1.145349.jpg,Solar Feasibility_Images/08-21-2025 15-48-20.Rooftop Image 2.145349.jpg,,,,,,,
8/21/2025 16:02:00,Ifako Agege General Hospital,Others,MOSQUE,Fetuga Abiodun,"6.643033, 3.325514",,FALSE,,,300,FALSE,1,TRUE,25,,Asbestos,2,FALSE,FALSE,FALSE,,707,27,TRUE,Passage,14,Low,Low,,Solar Feasibility_Images/08-21-2025 16-02-00.Rooftop Image 1.151034.jpg,Solar Feasibility_Images/08-21-2025 16-02-00.Rooftop Image 2.151034.jpg,,,,,,,
8/21/2025 16:19:01,Ifako Agege General Hospital,Others,LAGOS STATE HEALTH SCHEME,Fetuga Abiodun,"6.643343, 3.325424",,FALSE,,,85,FALSE,2,TRUE,30,,Asbestos,3,FALSE,FALSE,FALSE,19.2,770,27,TRUE,Store,9,Low,Low,,Solar Feasibility_Images/08-21-2025 16-19-01.Rooftop Image 1.153911.jpg,Solar Feasibility_Images/08-21-2025 16-19-01.Rooftop Image 2.153911.jpg,,,,,,,
8/21/2025 16:27:04,Ifako Agege General Hospital,Others,MINI MART,Fetuga Abiodun,"6.643304, 3.325401",,FALSE,,,25,FALSE,1,TRUE,20,,Asbestos,3,FALSE,FALSE,FALSE,19.3,706,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 16-27-04.Rooftop Image 1.153318.jpg,Solar Feasibility_Images/08-21-2025 16-27-04.Rooftop Image 2.153318.jpg,,,,,,,
8/21/2025 16:43:14,Ifako Agege General Hospital,Others,KITCHEN,Fetuga Abiodun,"6.643245, 3.325655",,FALSE,,,60,FALSE,1,TRUE,45,,Aluminium pan,2,FALSE,FALSE,FALSE,19.6,733,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 16-43-14.Rooftop Image 1.155656.jpg,Solar Feasibility_Images/08-21-2025 16-43-14.Rooftop Image 2.155656.jpg,,,,,,,
8/21/2025 16:59:35,Ifako Agege General Hospital,Others,SERVICE CHATER BUILDING,Fetuga Abiodun,"6.643563, 3.325221",,TRUE,Computer room,,45,FALSE,1,FALSE,,,Aluminium longspan,7,FALSE,FALSE,FALSE,20.3,683,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 16-59-35.Rooftop Image 1.160716.jpg,Solar Feasibility_Images/08-21-2025 16-59-35.Rooftop Image 2.160743.jpg,,,,,,,
